Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,140916,2014-09-16,23651,NYME,1,23,999207,159793,156282,159381,17716,53470,247933,239125,152395,23529,218118,131133,927634,968239,71573,30968,999207,159793,156282,159381,17716,53470,247933,239125,152395,23529,218118,131133,927634,968239,71573,30968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9390.0,12258.0,12876.0,2145.0,-900.0,2250.0,-7690.0,-2289.0,-3606.0,4798.0,-1440.0,-207.0,9948.0,6684.0,-558.0,2706.0,100,16.0,15.6,16.0,1.8,5.4,24.8,23.9,15.3,2.4,21.8,13.1,92.8,96.9,7.2,3.1,100,16.0,15.6,16.0,1.8,5.4,24.8,23.9,15.3,2.4,21.8,13.1,92.8,96.9,7.2,3.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277,39.0,33.0,22.0,11.0,26.0,63.0,54.0,67.0,31.0,42.0,50.0,240,211.0,277.0,39.0,33.0,22.0,11.0,26.0,63.0,54.0,67.0,31.0,42.0,50.0,240.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,25.6,33.4,41.9,12.1,21.0,18.6,31.2,19.9,25.6,33.4,41.9,12.1,21.0,18.6,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,140923,2014-09-23,23651,NYME,1,23,944154,121902,120900,152344,15249,52793,239383,229113,155795,22067,209184,126495,870779,909529,73375,34625,944154,121902,120900,152344,15249,52793,239383,229113,155795,22067,209184,126495,870779,909529,73375,34625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55053.0,-37891.0,-35382.0,-7037.0,-2467.0,-677.0,-8550.0,-10012.0,3400.0,-1462.0,-8934.0,-4638.0,-56855.0,-58710.0,1802.0,3657.0,100,12.9,12.8,16.1,1.6,5.6,25.4,24.3,16.5,2.3,22.2,13.4,92.2,96.3,7.8,3.7,100,12.9,12.8,16.1,1.6,5.6,25.4,24.3,16.5,2.3,22.2,13.4,92.2,96.3,7.8,3.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275,37.0,30.0,23.0,11.0,26.0,62.0,57.0,66.0,35.0,37.0,50.0,240,206.0,275.0,37.0,30.0,23.0,11.0,26.0,62.0,57.0,66.0,35.0,37.0,50.0,240.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,24.4,31.9,41.3,12.7,21.0,19.4,31.5,19.9,24.4,31.9,41.3,12.7,21.0,19.4,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,140930,2014-09-30,23651,NYME,1,23,937715,121326,120871,149372,21440,48486,249477,220689,151153,20658,224129,121637,862109,908405,75606,29310,937715,121326,120871,149372,21440,48486,249477,220689,151153,20658,224129,121637,862109,908405,75606,29310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6439.0,-576.0,-29.0,-2972.0,6191.0,-4307.0,10094.0,-8424.0,-4642.0,-1409.0,14945.0,-4858.0,-8670.0,-1124.0,2231.0,-5315.0,100,12.9,12.9,15.9,2.3,5.2,26.6,23.5,16.1,2.2,23.9,13.0,91.9,96.9,8.1,3.1,100,12.9,12.9,15.9,2.3,5.2,26.6,23.5,16.1,2.2,23.9,13.0,91.9,96.9,8.1,3.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267,37.0,31.0,22.0,13.0,26.0,67.0,43.0,56.0,27.0,39.0,56.0,236,198.0,267.0,37.0,31.0,22.0,13.0,26.0,67.0,43.0,56.0,27.0,39.0,56.0,236.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,26.2,32.0,43.0,12.9,22.5,19.5,32.6,20.1,26.2,32.0,43.0,12.9,22.5,19.5,32.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,141007,2014-10-07,23651,NYME,1,23,921759,125680,117868,163304,16064,43155,233514,224282,154586,21647,220519,115141,857027,891615,64732,30144,921759,125680,117868,163304,16064,43155,233514,224282,154586,21647,220519,115141,857027,891615,64732,30144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15956.0,4354.0,-3003.0,13932.0,-5376.0,-5331.0,-15963.0,3593.0,3433.0,989.0,-3610.0,-6496.0,-5082.0,-16790.0,-10874.0,834.0,100,13.6,12.8,17.7,1.7,4.7,25.3,24.3,16.8,2.3,23.9,12.5,93.0,96.7,7.0,3.3,100,13.6,12.8,17.7,1.7,4.7,25.3,24.3,16.8,2.3,23.9,12.5,93.0,96.7,7.0,3.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262,39.0,32.0,23.0,12.0,28.0,57.0,50.0,61.0,30.0,38.0,51.0,235,197.0,262.0,39.0,32.0,23.0,12.0,28.0,57.0,50.0,61.0,30.0,38.0,51.0,235.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,27.0,31.5,43.1,13.1,23.2,20.1,33.4,19.8,27.0,31.5,43.1,13.1,23.2,20.1,33.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,141014,2014-10-14,23651,NYME,1,23,922102,115628,110832,166171,13931,46605,227173,222933,144673,26959,221309,130217,857426,890500,64676,31602,922102,115628,110832,166171,13931,46605,227173,222933,144673,26959,221309,130217,857426,890500,64676,31602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343.0,-10052.0,-7036.0,2867.0,-2133.0,3450.0,-6341.0,-1349.0,-9913.0,5312.0,790.0,15076.0,399.0,-1115.0,-56.0,1458.0,100,12.5,12.0,18.0,1.5,5.1,24.6,24.2,15.7,2.9,24.0,14.1,93.0,96.6,7.0,3.4,100,12.5,12.0,18.0,1.5,5.1,24.6,24.2,15.7,2.9,24.0,14.1,93.0,96.6,7.0,3.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278,40.0,31.0,22.0,13.0,28.0,59.0,59.0,67.0,38.0,37.0,54.0,246,211.0,278.0,40.0,31.0,22.0,13.0,28.0,59.0,59.0,67.0,38.0,37.0,54.0,246.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,25.8,31.7,42.0,13.2,23.3,20.1,33.1,19.2,25.8,31.7,42.0,13.2,23.3,20.1,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,141021,2014-10-21,23651,NYME,1,23,912072,118416,111051,180039,11797,45426,214541,227017,139882,30323,220327,122426,851053,877926,61019,34146,912072,118416,111051,180039,11797,45426,214541,227017,139882,30323,220327,122426,851053,877926,61019,34146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10030.0,2788.0,219.0,13868.0,-2134.0,-1179.0,-12632.0,4084.0,-4791.0,3364.0,-982.0,-7791.0,-6373.0,-12574.0,-3657.0,2544.0,100,13.0,12.2,19.7,1.3,5.0,23.5,24.9,15.3,3.3,24.2,13.4,93.3,96.3,6.7,3.7,100,13.0,12.2,19.7,1.3,5.0,23.5,24.9,15.3,3.3,24.2,13.4,93.3,96.3,6.7,3.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291,39.0,31.0,24.0,10.0,26.0,61.0,63.0,73.0,40.0,41.0,53.0,249,223.0,291.0,39.0,31.0,24.0,10.0,26.0,61.0,63.0,73.0,40.0,41.0,53.0,249.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,24.6,32.3,39.7,14.7,22.4,21.5,31.5,18.7,24.6,32.3,39.7,14.7,22.4,21.5,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,141028,2014-10-28,23651,NYME,1,23,891641,105733,104977,186083,10969,43795,216404,244431,130265,33341,209714,112566,828187,856717,63454,34924,891641,105733,104977,186083,10969,43795,216404,244431,130265,33341,209714,112566,828187,856717,63454,34924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20431.0,-12683.0,-6074.0,6044.0,-828.0,-1631.0,1863.0,17414.0,-9617.0,3018.0,-10613.0,-9860.0,-22866.0,-21209.0,2435.0,778.0,100,11.9,11.8,20.9,1.2,4.9,24.3,27.4,14.6,3.7,23.5,12.6,92.9,96.1,7.1,3.9,100,11.9,11.8,20.9,1.2,4.9,24.3,27.4,14.6,3.7,23.5,12.6,92.9,96.1,7.1,3.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283,38.0,30.0,25.0,8.0,26.0,59.0,62.0,63.0,41.0,37.0,52.0,241,211.0,283.0,38.0,30.0,25.0,8.0,26.0,59.0,62.0,63.0,41.0,37.0,52.0,241.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,24.7,32.3,39.0,15.5,22.9,22.3,31.7,19.0,24.7,32.3,39.0,15.5,22.9,22.3,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,141104,2014-11-04,23651,NYME,1,23,915135,118602,126281,186906,10776,44663,224994,228214,145597,23835,224382,106788,851385,886701,63750,28434,915135,118602,126281,186906,10776,44663,224994,228214,145597,23835,224382,106788,851385,886701,63750,28434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23494.0,12869.0,21304.0,823.0,-193.0,868.0,8590.0,-16217.0,15332.0,-9506.0,14668.0,-5778.0,23198.0,29984.0,296.0,-6490.0,100,13.0,13.8,20.4,1.2,4.9,24.6,24.9,15.9,2.6,24.5,11.7,93.0,96.9,7.0,3.1,100,13.0,13.8,20.4,1.2,4.9,24.6,24.9,15.9,2.6,24.5,11.7,93.0,96.9,7.0,3.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276,38.0,30.0,22.0,9.0,25.0,62.0,57.0,62.0,34.0,41.0,53.0,244,201.0,276.0,38.0,30.0,22.0,9.0,25.0,62.0,57.0,62.0,34.0,41.0,53.0,244.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,25.6,30.9,40.7,15.5,22.6,22.4,31.4,18.6,25.6,30.9,40.7,15.5,22.6,22.4,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,141111,2014-11-11,23651,NYME,1,23,967434,127782,141978,185373,10338,45514,245674,233325,167015,25631,242996,103040,900029,944206,67405,23228,967434,127782,141978,185373,10338,45514,245674,233325,167015,25631,242996,103040,900029,944206,67405,23228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52299.0,9180.0,15697.0,-1533.0,-438.0,851.0,20680.0,5111.0,21418.0,1796.0,18614.0,-3748.0,48644.0,57505.0,3655.0,-5206.0,100,13.2,14.7,19.2,1.1,4.7,25.4,24.1,17.3,2.6,25.1,10.7,93.0,97.6,7.0,2.4,100,13.2,14.7,19.2,1.1,4.7,25.4,24.1,17.3,2.6,25.1,10.7,93.0,97.6,7.0,2.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,39.0,31.0,23.0,9.0,26.0,79.0,44.0,67.0,41.0,41.0,53.0,261,202.0,288.0,39.0,31.0,23.0,9.0,26.0,79.0,44.0,67.0,41.0,41.0,53.0,261.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,27.2,30.4,41.9,14.2,21.7,20.6,30.7,18.7,27.2,30.4,41.9,14.2,21.7,20.6,30.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,141118,2014-11-18,23651,NYME,1,23,966597,144729,154796,184186,10627,45325,248940,226349,165742,20028,249442,91782,900732,944063,65865,22534,966597,144729,154796,184186,10627,45325,248940,226349,165742,20028,249442,91782,900732,944063,65865,22534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-837.0,16947.0,12818.0,-1187.0,289.0,-189.0,3266.0,-6976.0,-1273.0,-5603.0,6446.0,-11258.0,703.0,-143.0,-1540.0,-694.0,100,15.0,16.0,19.1,1.1,4.7,25.8,23.4,17.1,2.1,25.8,9.5,93.2,97.7,6.8,2.3,100,15.0,16.0,19.1,1.1,4.7,25.8,23.4,17.1,2.1,25.8,9.5,93.2,97.7,6.8,2.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286,40.0,32.0,24.0,9.0,27.0,75.0,47.0,68.0,34.0,46.0,52.0,255,209.0,286.0,40.0,32.0,24.0,9.0,27.0,75.0,47.0,68.0,34.0,46.0,52.0,255.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,27.6,30.0,42.2,14.0,21.5,20.4,30.3,19.5,27.6,30.0,42.2,14.0,21.5,20.4,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,141125,2014-11-25,23651,NYME,1,23,955365,143023,160907,170955,10909,43584,263356,227135,160048,20531,241056,90393,891890,934032,63475,21333,955365,143023,160907,170955,10909,43584,263356,227135,160048,20531,241056,90393,891890,934032,63475,21333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11232.0,-1706.0,6111.0,-13231.0,282.0,-1741.0,14416.0,786.0,-5694.0,503.0,-8386.0,-1389.0,-8842.0,-10031.0,-2390.0,-1201.0,100,15.0,16.8,17.9,1.1,4.6,27.6,23.8,16.8,2.1,25.2,9.5,93.4,97.8,6.6,2.2,100,15.0,16.8,17.9,1.1,4.6,27.6,23.8,16.8,2.1,25.2,9.5,93.4,97.8,6.6,2.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284,38.0,31.0,23.0,9.0,25.0,81.0,42.0,64.0,34.0,45.0,48.0,253,198.0,284.0,38.0,31.0,23.0,9.0,25.0,81.0,42.0,64.0,34.0,45.0,48.0,253.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,27.7,29.4,42.8,13.1,21.8,19.4,30.4,19.7,27.7,29.4,42.8,13.1,21.8,19.4,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,141202,2014-12-02,23651,NYME,1,23,969944,150604,166670,187551,9089,49237,232495,233890,170643,24112,223851,93420,908062,946800,61882,23144,969944,150604,166670,187551,9089,49237,232495,233890,170643,24112,223851,93420,908062,946800,61882,23144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14579.0,7581.0,5763.0,16596.0,-1820.0,5653.0,-30861.0,6755.0,10595.0,3581.0,-17205.0,3027.0,16172.0,12768.0,-1593.0,1811.0,100,15.5,17.2,19.3,0.9,5.1,24.0,24.1,17.6,2.5,23.1,9.6,93.6,97.6,6.4,2.4,100,15.5,17.2,19.3,0.9,5.1,24.0,24.1,17.6,2.5,23.1,9.6,93.6,97.6,6.4,2.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278,39.0,32.0,24.0,8.0,24.0,72.0,43.0,74.0,38.0,39.0,44.0,248,202.0,278.0,39.0,32.0,24.0,8.0,24.0,72.0,43.0,74.0,38.0,39.0,44.0,248.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,27.8,30.5,41.5,13.6,21.7,19.8,30.2,20.4,27.8,30.5,41.5,13.6,21.7,19.8,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,141209,2014-12-09,23651,NYME,1,23,948980,136936,144710,203989,8663,46531,213711,239429,168881,29390,220531,90949,890387,919694,58593,29286,948980,136936,144710,203989,8663,46531,213711,239429,168881,29390,220531,90949,890387,919694,58593,29286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20964.0,-13668.0,-21960.0,16438.0,-426.0,-2706.0,-18784.0,5539.0,-1762.0,5278.0,-3320.0,-2471.0,-17675.0,-27106.0,-3289.0,6142.0,100,14.4,15.2,21.5,0.9,4.9,22.5,25.2,17.8,3.1,23.2,9.6,93.8,96.9,6.2,3.1,100,14.4,15.2,21.5,0.9,4.9,22.5,25.2,17.8,3.1,23.2,9.6,93.8,96.9,6.2,3.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276,42.0,33.0,24.0,8.0,25.0,61.0,50.0,68.0,39.0,40.0,48.0,244,205.0,276.0,42.0,33.0,24.0,8.0,25.0,61.0,50.0,68.0,39.0,40.0,48.0,244.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,27.3,30.3,40.0,14.9,22.3,21.2,30.4,20.3,27.3,30.3,40.0,14.9,22.3,21.2,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,141216,2014-12-16,23651,NYME,1,23,920021,122946,131893,197285,6962,45334,203438,233722,169229,30325,210843,92822,861379,890805,58642,29216,920021,122946,131893,197285,6962,45334,203438,233722,169229,30325,210843,92822,861379,890805,58642,29216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28959.0,-13990.0,-12817.0,-6704.0,-1701.0,-1197.0,-10273.0,-5707.0,348.0,935.0,-9688.0,1873.0,-29008.0,-28889.0,49.0,-70.0,100,13.4,14.3,21.4,0.8,4.9,22.1,25.4,18.4,3.3,22.9,10.1,93.6,96.8,6.4,3.2,100,13.4,14.3,21.4,0.8,4.9,22.1,25.4,18.4,3.3,22.9,10.1,93.6,96.8,6.4,3.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283,43.0,36.0,25.0,5.0,22.0,61.0,55.0,67.0,36.0,44.0,54.0,244,214.0,283.0,43.0,36.0,25.0,5.0,22.0,61.0,55.0,67.0,36.0,44.0,54.0,244.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,27.2,29.6,39.1,14.4,23.0,20.9,30.1,18.8,27.2,29.6,39.1,14.4,23.0,20.9,30.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly
